Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Alcides,10/30/22 4:29,0:00:34,,Temporada 1 (Avance 2): La gran inundación,TEASER_TRAILER,LG 2017 LG M16p Standard UHD TV Smart TV,0:00:34,0:00:34,PE (Peru)
Alcides,10/30/22 4:28,0:00:30,,Temporada 1 (Avance): La gran inundación,TEASER_TRAILER,LG 2017 LG M16p Standard UHD TV Smart TV,0:00:30,0:00:30,PE (Peru)
Alcides,10/30/22 3:48,0:39:52,Autoplayed: user action: User_Interaction; ,La gran inundación: Temporada 1: Episodio 6 (Capítulo 6),,LG 2017 LG M16p Standard UHD TV Smart TV,0:39:59,0:39:59,PE (Peru)
Alcides,10/30/22 3:05,0:42:13,,La gran inundación: Temporada 1: Episodio 5 (Capítulo 5),,LG 2017 LG M16p Standard UHD TV Smart TV,0:42:18,0:42:18,PE (Peru)
Alcides,10/30/22 2:27,0:38:49,,La gran inundación: Temporada 1: Episodio 4 (Capítulo 4),,LG 2017 LG M16p Standard UHD TV Smart TV,0:38:54,0:38:54,PE (Peru)
Alcides,10/30/22 2:22,0:04:14,Autoplayed: user action: User_Interaction; ,La gran inundación: Temporada 1: Episodio 3 (Capítulo 3),,LG 2017 LG M16p Standard UHD TV Smart TV,0:39:59,0:39:59,PE (Peru)
Alcides,10/30/22 2:16,2:04:59,,Salvaje es el viento,,LG 2018 Mstar LM18A STD UHD TV Smart TV,2:04:26,2:04:26,PE (Peru)
Alcides,10/30/22 2:15,0:00:14,Autoplayed: user action: None; ,Salvaje es el viento (Clip): Salvaje es el viento,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:14,0:00:14,PE (Peru)
Alcides,10/30/22 2:15,0:00:34,Autoplayed: user action: None; ,Temporada 1 (Avance 2): La gran inundación,TEASER_TRAILER,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:34,Not latest view,PE (Peru)
Alcides,10/29/22 17:42,0:35:45,Autoplayed: user action: User_Interaction; ,La gran inundación: Temporada 1: Episodio 3 (Capítulo 3),,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:35:50,Not latest view,PE (Peru)
Alcides,10/29/22 17:02,0:39:47,,La gran inundación: Temporada 1: Episodio 2 (Capítulo 2),,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:39:52,0:39:52,PE (Peru)
Alcides,10/29/22 16:21,0:40:57,,La gran inundación: Temporada 1: Episodio 1 (Capítulo 1),,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:41:02,0:41:02,PE (Peru)
Alcides,10/29/22 16:21,0:00:07,Autoplayed: user action: None; ,Temporada 1 (Clip): La gran inundación,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:07,0:00:07,PE (Peru)
Alcides,10/29/22 16:21,0:00:13,Autoplayed: user action: None; ,Temporada 1 (Clip): La gran inundación,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:13,Not latest view,PE (Peru)
Alcides,10/29/22 16:19,0:01:00,Autoplayed: user action: None; ,El extraño (Clip): El extraño,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:01:00,0:01:00,PE (Peru)
Alcides,10/29/22 2:08,0:00:47,Autoplayed: user action: None; ,The Vault_hook_04_16x9,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:47,0:00:47,PE (Peru)
Alcides,10/28/22 2:05,1:51:24,,El extraño,,Samsung 2015 NT14M DTV Smart TV,1:52:13,1:52:13,PE (Peru)
Alcides,10/28/22 2:04,0:00:06,Autoplayed: user action: None; ,El extraño (Clip): El extraño,HOOK,Samsung 2015 NT14M DTV Smart TV,0:00:06,Not latest view,PE (Peru)
Alcides,10/27/22 2:44,1:57:10,Autoplayed: user action: User_Interaction; ,El Ángel de la Muerte,,Samsung 2015 NT14M DTV Smart TV,1:57:13,1:57:13,PE (Peru)
Alcides,10/27/22 2:22,0:00:53,Autoplayed: user action: None; ,El Ángel de la Muerte (Clip): El Ángel de la Muerte,HOOK,Samsung 2015 NT14M DTV Smart TV,0:00:53,0:00:53,PE (Peru)
Alcides,10/20/22 3:27,0:53:21,,Amnésico,,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:53:26,0:53:26,PE (Peru)
Alcides,10/20/22 3:26,0:00:17,Autoplayed: user action: None; ,The Blackout_hook_04_16x9,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:17,0:00:17,PE (Peru)
Alcides,10/20/22 3:25,0:00:36,Autoplayed: user action: None; ,Temporada 1 (Clip 2): Vigilante,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:36,0:00:36,PE (Peru)
Alcides,10/20/22 3:24,0:00:22,Autoplayed: user action: None; ,Esposa de alquiler (Clip 10): Esposa de alquiler,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:22,0:00:22,PE (Peru)
Alcides,10/20/22 3:24,0:00:17,Autoplayed: user action: None; ,The Blackout_hook_04_16x9,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:17,Not latest view,PE (Peru)
Alcides,10/19/22 3:52,0:00:06,Autoplayed: user action: User_Interaction; ,Amnésico,,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:06,Not latest view,PE (Peru)
Alcides,10/19/22 3:50,0:02:00,,Tráiler: Amnésico,TRAILER,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:02:00,0:02:00,PE (Peru)
Alcides,10/19/22 2:40,1:10:37,Autoplayed: user action: User_Interaction; ,Un maridaje perfecto,,LG 2018 Mstar LM18A STD UHD TV Smart TV,1:36:39,1:36:39,PE (Peru)
Alcides,10/19/22 2:39,0:00:44,Autoplayed: user action: None; ,Un maridaje perfecto (Clip): Un maridaje perfecto,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:44,0:00:44,PE (Peru)
Alcides,10/19/22 2:38,0:00:43,Autoplayed: user action: None; ,Un lugar seguro (Clip): Un lugar seguro,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:43,0:00:43,PE (Peru)
Alcides,10/18/22 23:49,1:44:00,Autoplayed: user action: User_Interaction; ,Fuera de la ley,,LG 2018 Mstar LM18A STD UHD TV Smart TV,1:44:00,1:44:00,PE (Peru)
Alcides,10/18/22 23:49,0:00:05,,"Vigilante: Temporada 1: Bienvenidos, amigos (Capítulo 1)",,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:05,0:00:05,PE (Peru)
Alcides,10/18/22 23:48,0:00:36,Autoplayed: user action: None; ,Temporada 1 (Clip 2): Vigilante,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:36,Not latest view,PE (Peru)
Alcides,10/13/22 2:08,1:49:32,Autoplayed: user action: User_Interaction; ,Marcado por la muerte,,LG 2018 Mstar LM18A STD UHD TV Smart TV,1:49:35,1:49:35,PE (Peru)
Alcides,10/13/22 2:07,0:00:24,Autoplayed: user action: None; ,Dead Man Down_hook_primary_16x9,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:24,0:00:24,PE (Peru)
Alcides,10/13/22 2:06,0:00:42,Autoplayed: user action: None; ,THELASTDAYSOFAMERICANCRIME_CLIP_VILLAIN,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:42,0:00:42,PE (Peru)
Alcides,10/13/22 2:06,0:00:32,Autoplayed: user action: None; ,Al Acecho_hook_01_16x9,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:32,0:00:32,PE (Peru)
Alcides,10/12/22 1:46,1:55:51,Autoplayed: user action: User_Interaction; ,El Camino: Una película de Breaking Bad,,LG 2018 Mstar LM18A STD UHD TV Smart TV,1:55:54,1:55:54,PE (Peru)
Alcides,10/12/22 1:44,0:02:06,,El Camino: Una película de Breaking Bad (Tráiler),TRAILER,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:02:06,0:02:06,PE (Peru)
Alcides,10/12/22 1:43,0:00:34,Autoplayed: user action: None; ,Midnight Express_hook_primary_16x9,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:34,0:00:34,PE (Peru)
Alcides,10/12/22 1:43,0:00:07,Autoplayed: user action: None; ,Cliffhanger Clip: Togo,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:07,0:00:07,PE (Peru)
Alcides,10/12/22 1:43,0:00:11,Autoplayed: user action: None; ,Temporada 1 (Clip): La emperatriz,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:11,0:00:11,PE (Peru)
Alcides,10/11/22 3:51,0:01:07,Autoplayed: user action: None; ,Tráiler: DAHMER,TRAILER,Samsung 2015 NT14M DTV Smart TV,0:01:07,0:01:07,PE (Peru)
Alcides,10/11/22 2:14,1:37:10,,Los ancianos,,Samsung 2015 NT14M DTV Smart TV,1:37:10,1:37:10,PE (Peru)
Alcides,10/11/22 2:09,0:01:16,Autoplayed: user action: None; ,Cliffhanger Clip: Togo,HOOK,Samsung 2015 NT14M DTV Smart TV,0:01:16,Not latest view,PE (Peru)
Alcides,10/9/22 16:44,0:00:06,Autoplayed: user action: None; ,Edge of Fear_hook_primary_16x9,HOOK,LG 2017 LG M16p Standard UHD TV Smart TV,0:00:06,0:00:06,PE (Peru)
Alcides,10/9/22 16:41,0:02:32,,Tráiler: DAHMER,TRAILER,LG 2017 LG M16p Standard UHD TV Smart TV,0:02:32,Not latest view,PE (Peru)
Alcides,10/9/22 16:41,0:00:12,Autoplayed: user action: None; ,Season 1 (Clip): Contigo Capitán,HOOK,LG 2017 LG M16p Standard UHD TV Smart TV,0:00:12,0:00:12,PE (Peru)
Alcides,10/9/22 16:40,0:00:23,Autoplayed: user action: None; ,Miniserie (Clip): Conversaciones con asesinos: Las cintas de Jeffrey Dahmer,HOOK,LG 2017 LG M16p Standard UHD TV Smart TV,0:00:23,0:00:23,PE (Peru)
Alcides,10/9/22 16:39,0:01:18,Autoplayed: user action: None; ,Season 1 (Clip): Contigo Capitán,HOOK,LG 2017 LG M16p Standard UHD TV Smart TV,0:01:18,Not latest view,PE (Peru)
Alcides,10/9/22 16:38,0:00:02,,La escuela católica,,LG 2017 LG M16p Standard UHD TV Smart TV,0:38:43,0:38:43,PE (Peru)
Alcides,10/9/22 16:37,0:00:19,Autoplayed: user action: None; ,Tráiler: La escuela católica,TRAILER,LG 2017 LG M16p Standard UHD TV Smart TV,0:00:19,0:00:19,PE (Peru)
Alcides,10/9/22 16:37,0:00:08,Autoplayed: user action: None; ,Temporada 3 (Clip 5): El piso es lava,HOOK,LG 2017 LG M16p Standard UHD TV Smart TV,0:00:08,0:00:08,PE (Peru)
Alcides,10/9/22 3:25,1:42:28,,Sweet Girl,,LG 2018 Mstar LM18A STD UHD TV Smart TV,1:42:29,1:42:29,PE (Peru)
Alcides,10/9/22 3:24,0:00:36,Autoplayed: user action: None; ,Sweet Girl (Clip 2): Sweet Girl,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:36,0:00:36,PE (Peru)
Alcides,10/9/22 3:24,0:00:04,Autoplayed: user action: None; ,The Walking Dead: Season 1_hook_primary_16x9,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:04,0:00:04,PE (Peru)
Alcides,10/9/22 3:24,0:00:14,Autoplayed: user action: None; ,Temporada 3 (Avance 2): You,TEASER_TRAILER,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:14,0:00:14,PE (Peru)
Alcides,10/9/22 3:21,0:00:28,Autoplayed: user action: None; ,Temporada 5 (Clip): Cobra Kai,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:28,0:00:28,PE (Peru)
Alcides,10/9/22 1:42,1:37:53,Autoplayed: user action: User_Interaction; ,El teléfono del señor Harrigan,,LG 2018 Mstar LM18A STD UHD TV Smart TV,1:37:55,1:37:55,PE (Peru)
Alcides,10/9/22 1:41,0:00:56,Autoplayed: user action: None; ,El teléfono del señor Harrigan (Clip): El teléfono del señor Harrigan,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:56,0:00:56,PE (Peru)
Alcides,10/8/22 3:12,1:34:41,,Instinto peligroso,,LG 2018 Mstar LM18A STD UHD TV Smart TV,1:34:41,1:34:41,PE (Peru)
Alcides,10/8/22 3:12,0:00:34,Autoplayed: user action: None; ,Instinto peligroso (Clip): Instinto peligroso,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:34,0:00:34,PE (Peru)
Alcides,10/8/22 3:11,0:00:18,Autoplayed: user action: None; ,No Man of God_hook_05_16x9,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:18,0:00:18,PE (Peru)
Alcides,10/8/22 3:11,0:00:11,Autoplayed: user action: None; ,Temporada 1 (Clip): ¿Sabes quién es?,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:11,0:00:11,PE (Peru)
Alcides,10/8/22 3:11,0:00:11,Autoplayed: user action: None; ,Dark Desire: Season 1 PVS Clip 1,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:11,0:00:11,PE (Peru)
Alcides,10/8/22 3:10,0:00:04,Autoplayed: user action: None; ,Un lugar seguro (Clip): Un lugar seguro,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:04,Not latest view,PE (Peru)
Alcides,10/8/22 3:10,0:00:04,Autoplayed: user action: None; ,La chica más afortunada del mundo (Clip 2): La chica más afortunada del mundo,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:04,0:00:04,PE (Peru)
Alcides,10/8/22 3:10,0:00:13,Autoplayed: user action: None; ,Gracia y coraje,,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:09:30,0:09:30,PE (Peru)
Alcides,10/8/22 2:57,0:00:43,Autoplayed: user action: None; ,Grace and Grit_hook_03_16x9,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:43,0:00:43,PE (Peru)
Alcides,10/8/22 1:56,0:41:42,,El recolector,,LG 2018 Mstar LM18A STD UHD TV Smart TV,1:31:01,1:31:01,PE (Peru)
Alcides,10/7/22 22:16,0:49:24,Autoplayed: user action: User_Interaction; ,El recolector,,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:49:24,Not latest view,PE (Peru)
Alcides,10/7/22 22:15,0:00:04,Autoplayed: user action: None; ,Temporada 1 (Clip): La gran inundación,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:04,Not latest view,PE (Peru)
Alcides,10/7/22 20:41,1:34:21,,La chica más afortunada del mundo,,LG 2018 Mstar LM18A STD UHD TV Smart TV,1:47:26,1:47:26,PE (Peru)
Alcides,10/7/22 20:40,0:00:04,Autoplayed: user action: None; ,La chica más afortunada del mundo (Clip 2): La chica más afortunada del mundo,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:04,Not latest view,PE (Peru)
Alcides,10/7/22 20:40,0:00:07,Autoplayed: user action: None; ,Temporada 1 (Clip): Feria: La luz más oscura,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:07,0:00:07,PE (Peru)
Alcides,10/7/22 20:40,0:00:04,Autoplayed: user action: None; ,The Woods: Season 1 PVS Clip 6,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:04,0:00:04,PE (Peru)
Alcides,10/7/22 20:39,0:00:07,Autoplayed: user action: None; ,Temporada 1 (Tráiler): Fatma,TRAILER,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:07,0:00:07,PE (Peru)
Alcides,10/7/22 20:38,0:00:04,Autoplayed: user action: None; ,Monstruo: La historia de Jeffrey Dahmer (Clip 17): DAHMER,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:04,0:00:04,PE (Peru)
Alcides,10/7/22 20:24,0:13:06,,La chica más afortunada del mundo,,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:13:06,Not latest view,PE (Peru)
Alcides,10/7/22 20:24,0:00:09,Autoplayed: user action: None; ,La chica más afortunada del mundo (Clip 2): La chica más afortunada del mundo,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:09,Not latest view,PE (Peru)
Alcides,10/7/22 20:23,0:00:41,Autoplayed: user action: None; ,La chica más afortunada del mundo (Clip 2): La chica más afortunada del mundo,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:41,Not latest view,PE (Peru)
Alcides,10/6/22 0:45,0:09:19,,Gracia y coraje,,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:09:19,Not latest view,PE (Peru)
Alcides,10/6/22 0:45,0:00:24,Autoplayed: user action: None; ,Grace and Grit_hook_02_16x9,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:24,0:00:24,PE (Peru)
Alcides,10/6/22 0:45,0:00:04,Autoplayed: user action: None; ,Avance: Sigue respirando,TEASER_TRAILER,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:04,0:00:04,PE (Peru)
Alcides,10/5/22 23:19,1:23:57,,Av: La caza,,LG 2018 Mstar LM18A STD UHD TV Smart TV,1:23:59,1:23:59,PE (Peru)
Alcides,10/5/22 23:19,0:00:27,Autoplayed: user action: None; ,Av: The Hunt_hook_primary_16x9,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:27,0:00:27,PE (Peru)
Alcides,10/5/22 23:18,0:00:05,Autoplayed: user action: None; ,El plan maestro,,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:05,0:00:05,PE (Peru)
Alcides,10/5/22 23:18,0:00:06,,La gran inundación: Temporada 1: Episodio 1 (Capítulo 1),,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:06,Not latest view,PE (Peru)
Alcides,10/5/22 23:18,0:00:12,Autoplayed: user action: None; ,Temporada 1 (Clip): La gran inundación,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:12,0:00:12,PE (Peru)
Alcides,10/5/22 3:08,1:29:53,Autoplayed: user action: None; ,El plan maestro,,Samsung 2015 NT14M DTV Smart TV,1:29:53,Not latest view,PE (Peru)
Alcides,10/3/22 16:41,1:25:49,Autoplayed: user action: User_Interaction; ,Las ruinas,,LG 2018 Mstar LM18A STD UHD TV Smart TV,1:25:49,1:25:49,PE (Peru)
Alcides,10/3/22 16:39,0:00:34,Autoplayed: user action: None; ,La escuela católica (Clip): La escuela católica,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:34,0:00:34,PE (Peru)
Alcides,10/3/22 16:39,0:00:07,Autoplayed: user action: None; ,Blindspot: Season 1_hook_primary_16x9,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:07,0:00:07,PE (Peru)
Alcides,10/3/22 1:34,0:38:40,Autoplayed: user action: User_Interaction; ,La escuela católica,,Samsung 2015 NT14M DTV Smart TV,0:38:42,Not latest view,PE (Peru)
Alcides,10/3/22 1:30,0:01:11,Autoplayed: user action: None; ,Grace and Grit_hook_primary_16x9,HOOK,Samsung 2015 NT14M DTV Smart TV,0:01:11,0:01:11,PE (Peru)
Alcides,10/3/22 0:44,0:39:17,,Alba: Temporada 1: Capítulo 2 (Capítulo 2),,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:39:28,0:39:28,PE (Peru)
Alcides,10/2/22 23:47,1:25:21,Autoplayed: user action: User_Interaction; ,La cacería,,Samsung 2015 NT14M DTV Smart TV,1:25:25,1:25:25,PE (Peru)
Alcides,10/2/22 23:36,1:07:30,,Alba: Temporada 1: What is Alba's crime? (Capítulo 1),,LG 2018 Mstar LM18A STD UHD TV Smart TV,1:07:30,1:07:30,PE (Peru)
Alcides,10/2/22 23:36,0:00:19,Autoplayed: user action: None; ,Temporada 1 (Tráiler): Alba,TRAILER,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:19,0:00:19,PE (Peru)
Alcides,10/2/22 23:35,0:00:05,Autoplayed: user action: None; ,Temporada 1 (Tráiler): Entrevías,TRAILER,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:05,0:00:05,PE (Peru)
Alcides,9/30/22 0:36,1:23:28,,La hija del lobo,,LG 2018 Mstar LM18A STD UHD TV Smart TV,1:23:28,1:23:28,PE (Peru)
Alcides,9/30/22 0:35,0:00:24,Autoplayed: user action: None; ,Daughter of the Wolf_hook_01_16x9,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:24,0:00:24,PE (Peru)
Alcides,9/30/22 0:35,0:00:18,Autoplayed: user action: None; ,La Piloto: Season 1_hook_primary_16x9,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:19,0:00:19,PE (Peru)
Alcides,9/30/22 0:34,0:00:20,Autoplayed: user action: None; ,Malnazidos (Clip): Malnazidos,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:20,0:00:20,PE (Peru)
Alcides,9/30/22 0:34,0:00:06,Autoplayed: user action: None; ,Queen of the South: Season 1_hook_primary_16x9,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:06,0:00:06,PE (Peru)
Alcides,9/30/22 0:30,0:02:41,Autoplayed: user action: User_Interaction; ,Un lugar seguro,,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:04:09,0:04:09,PE (Peru)
Alcides,9/30/22 0:27,0:01:01,,Un lugar seguro,,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:01:04,Not latest view,PE (Peru)
Alcides,9/30/22 0:27,0:00:29,Autoplayed: user action: None; ,Un lugar seguro (Clip): Un lugar seguro,HOOK,LG 2018 Mstar LM18A STD UHD TV Smart TV,0:00:29,Not latest view,PE (Peru)
